WeekStarting,Advert,Price,Store,Brand,predictions
1992-07-02,True,1.97,1001,dominicks,27981.36
1992-07-09,True,2.33,1001,dominicks,36875.22
1992-07-16,True,2.27,1001,dominicks,36875.22
1992-07-23,True,2.03,1001,dominicks,24937.12000000001
1992-07-30,True,2.67,1001,dominicks,28686.25
1992-08-06,True,2.67,1001,dominicks,41187.42
1992-08-13,True,2.18,1001,dominicks,36769.98
1992-08-20,True,1.93,1001,dominicks,20520.0
1992-08-27,True,2.11,1001,dominicks,31817.1
1992-09-03,True,2.61,1001,dominicks,47118.33
1992-09-10,True,1.92,1001,dominicks,20520.0
1992-09-17,True,2.01,1001,dominicks,20520.0
1992-09-24,True,2.26,1001,dominicks,34789.44
1992-10-01,True,2.25,1001,dominicks,34789.44
