WeekStarting,Advert,Price,Store,Brand,predictions
1992-07-02,True,1.98,1009,dominicks,24478.74
1992-07-09,True,2.65,1009,dominicks,33904.64
1992-07-16,True,2.61,1009,dominicks,33904.64
1992-07-23,True,2.26,1009,dominicks,27321.75
1992-07-30,True,2.21,1009,dominicks,27321.75
1992-08-06,True,2.56,1009,dominicks,45446.4
1992-08-13,True,2.52,1009,dominicks,49810.95
1992-08-20,True,1.99,1009,dominicks,26171.12
1992-08-27,True,2.48,1009,dominicks,41790.48
1992-09-03,True,2.11,1009,dominicks,34040.63
1992-09-10,True,1.93,1009,dominicks,22400.64
1992-09-17,True,1.97,1009,dominicks,26364.0
1992-09-24,True,2.1,1009,dominicks,34040.63
1992-10-01,True,1.92,1009,dominicks,38395.02
