WeekStarting,Advert,Price,Store,Brand,predictions
1992-07-02,True,2.53,1019,tropicana,48171.2
1992-07-09,True,2.22,1019,tropicana,26001.8
1992-07-16,True,2.02,1019,tropicana,24745.65
1992-07-23,True,2.19,1019,tropicana,23556.39
1992-07-30,True,2.24,1019,tropicana,40467.29
1992-08-06,True,1.91,1019,tropicana,26043.3
1992-08-13,True,1.97,1019,tropicana,20819.7
1992-08-20,True,2.16,1019,tropicana,40899.04
1992-08-27,True,2.2,1019,tropicana,30911.27
1992-09-03,True,2.59,1019,tropicana,24120.42
1992-09-10,True,2.4,1019,tropicana,32831.85
1992-09-17,True,2.56,1019,tropicana,35731.189999999995
1992-09-24,True,2.2,1019,tropicana,31196.36
1992-10-01,True,2.12,1019,tropicana,31196.36
