WeekStarting,Advert,Price,Store,Brand,predictions
1992-07-02,True,2.51,1030,tropicana,25253.11
1992-07-09,True,2.54,1030,tropicana,30911.8
1992-07-16,True,1.98,1030,tropicana,34096.66
1992-07-23,True,2.48,1030,tropicana,34115.64
1992-07-30,True,2.4,1030,tropicana,34115.64
1992-08-06,True,2.62,1030,tropicana,24381.16
1992-08-13,True,1.96,1030,tropicana,20860.1
1992-08-20,True,2.66,1030,tropicana,34206.04
1992-08-27,True,1.9,1030,tropicana,23070.45
1992-09-03,True,2.48,1030,tropicana,30622.5
1992-09-10,True,2.53,1030,tropicana,45686.56
1992-09-17,True,2.23,1030,tropicana,25229.12000000001
1992-09-24,True,2.43,1030,tropicana,31860.2
1992-10-01,True,2.3,1030,tropicana,43337.91
