WeekStarting,Advert,Price,Store,Brand,predictions
1992-07-02,True,2.48,1004,minute_maid,37048.49873562067
1992-07-09,True,2.4,1004,minute_maid,45562.70051397088
1992-07-16,True,2.62,1004,minute_maid,50228.82249782101
1992-07-23,True,2.25,1004,minute_maid,34088.676885224886
1992-07-30,True,2.47,1004,minute_maid,38334.00294608465
1992-08-06,True,2.29,1004,minute_maid,29230.481302075244
1992-08-13,True,2.16,1004,minute_maid,28884.37009623322
1992-08-20,True,2.47,1004,minute_maid,38728.869047308806
1992-08-27,True,1.98,1004,minute_maid,29517.3511252714
1992-09-03,True,2.51,1004,minute_maid,30939.959270458545
1992-09-10,True,2.07,1004,minute_maid,26518.734950626436
1992-09-17,True,2.41,1004,minute_maid,36382.28807291512
1992-09-24,True,2.05,1004,minute_maid,28390.46478529586
1992-10-01,True,1.96,1004,minute_maid,30176.897412739796
