WeekStarting,Store,Brand,Advert,Price,Revenue
1990-06-14,1000,dominicks,1,2.59,31087.77
1990-06-14,1028,dominicks,1,2.64,45819.84
1990-06-14,1021,minute_maid,1,2.2,27271.2
1990-06-14,1011,tropicana,1,2.62,48213.24000000001
1990-06-14,1009,minute_maid,1,2.67,50278.77
1990-06-14,1023,tropicana,1,2.15,24475.6
1990-06-14,1032,dominicks,1,2.16,34920.72
1990-06-14,1001,dominicks,1,2.3,28480.9
1990-06-14,1004,tropicana,1,2.46,44198.82
1990-06-14,1028,minute_maid,1,1.9,34975.2
1990-06-14,1021,dominicks,1,1.99,19275.14
1990-06-14,1012,dominicks,1,2.14,35538.98
1990-06-14,1025,tropicana,1,2.09,25431.12
1990-06-14,1007,minute_maid,1,2.66,43855.42000000001
1990-06-14,1004,minute_maid,1,2.32,25058.32
1990-06-14,1028,tropicana,1,2.68,39532.68
1990-06-14,1020,tropicana,1,2.3,30640.6
1990-06-14,1023,dominicks,1,2.22,30624.9
1990-06-14,1015,minute_maid,1,2.53,29616.18
1990-06-14,1017,tropicana,1,2.2,31332.4
1990-06-14,1009,dominicks,1,2.69,31064.12
1990-06-14,1024,dominicks,1,2.15,26412.75
1990-06-14,1004,dominicks,1,2.26,31314.56
1990-06-14,1029,dominicks,1,2.69,32037.9
1990-06-14,1020,minute_maid,1,2.62,39467.68
1990-06-14,1012,tropicana,1,2.06,37623.84
1990-06-14,1003,tropicana,1,2.37,22014.93
1990-06-14,1029,minute_maid,1,2.11,37963.12
1990-06-14,1005,dominicks,1,2.32,46226.0
1990-06-14,1011,minute_maid,1,2.27,41207.31
1990-06-14,1021,tropicana,1,2.06,36501.14
1990-06-14,1032,tropicana,1,2.37,40112.25
1990-06-14,1010,dominicks,1,2.42,36871.12
1990-06-14,1016,dominicks,1,2.41,41558.04
1990-06-14,1017,dominicks,1,2.38,38646.44
1990-06-14,1026,minute_maid,1,2.35,32568.65
1990-06-14,1006,tropicana,1,2.19,36980.34
1990-06-14,1006,minute_maid,1,2.48,26952.64
1990-06-14,1026,tropicana,1,2.59,36451.66
1990-06-14,1022,tropicana,1,2.47,43037.28000000001
1990-06-14,1010,minute_maid,1,2.06,26475.12
1990-06-14,1006,dominicks,1,2.0,19090.0
1990-06-14,1027,dominicks,1,2.62,42281.56000000001
1990-06-14,1009,tropicana,1,2.65,38880.8
1990-06-14,1023,minute_maid,1,2.31,26024.46
1990-06-14,1031,tropicana,1,2.23,38182.06
1990-06-14,1032,minute_maid,1,1.98,27743.76
1990-06-14,1022,minute_maid,1,1.99,27020.22
1990-06-14,1010,tropicana,1,1.99,35927.46
1990-06-14,1005,tropicana,1,2.6,48705.8
1990-06-14,1027,minute_maid,1,2.39,37076.07
1990-06-14,1026,dominicks,1,2.42,40462.4
1990-06-14,1007,dominicks,1,2.69,52578.74
1990-06-14,1022,dominicks,1,2.39,37754.83
1990-06-14,1011,dominicks,1,1.92,22734.72
1990-06-14,1005,minute_maid,1,2.13,19644.99
1990-06-14,1027,tropicana,1,1.94,37597.2
1990-06-14,1015,tropicana,1,2.61,31134.69
1990-06-14,1017,minute_maid,1,2.02,23870.34
1990-06-14,1000,minute_maid,1,2.55,29021.55
1990-06-14,1000,tropicana,1,2.56,44014.08
1990-06-14,1001,minute_maid,1,2.3,36151.4
1990-06-14,1012,minute_maid,1,2.31,28838.04
1990-06-14,1016,tropicana,1,2.69,49084.43
1990-06-14,1018,tropicana,1,2.02,33548.16
1990-06-14,1024,tropicana,1,2.12,21662.16
1990-06-14,1025,dominicks,1,2.02,25419.68
1990-06-14,1030,dominicks,1,2.3,24446.7
1990-06-14,1008,minute_maid,1,2.1,38217.9
1990-06-14,1015,dominicks,1,2.15,21310.8
1990-06-14,1008,tropicana,1,2.31,37551.36
1990-06-14,1030,tropicana,1,2.46,33623.28
1990-06-14,1024,minute_maid,1,2.42,23541.76
1990-06-14,1018,dominicks,1,2.36,21839.44
1990-06-14,1002,minute_maid,1,2.24,27265.28
1990-06-14,1019,minute_maid,1,2.06,39045.24
1990-06-14,1001,tropicana,1,2.1,20926.5
1990-06-14,1013,tropicana,1,2.48,33100.56
1990-06-14,1031,minute_maid,1,2.17,38597.79
1990-06-14,1002,tropicana,1,1.99,24679.98
1990-06-14,1030,minute_maid,1,1.94,21338.06
1990-06-14,1014,dominicks,1,2.28,25198.56
1990-06-14,1019,dominicks,1,2.63,43715.86
1990-06-14,1013,minute_maid,1,2.34,30815.46
1990-06-14,1019,tropicana,1,2.67,47841.06
1990-06-14,1003,dominicks,1,2.39,45338.3
1990-06-14,1008,dominicks,1,2.38,35159.74
1990-06-14,1014,minute_maid,1,2.37,38220.99000000001
1990-06-14,1031,dominicks,1,2.41,39521.59
1990-06-14,1025,minute_maid,1,2.2,29964.000000000004
1990-06-14,1002,dominicks,1,1.96,34564.6
1990-06-14,1020,dominicks,1,2.18,39399.14
1990-06-14,1018,minute_maid,1,2.4,42120.0
1990-06-14,1007,tropicana,1,1.92,18604.8
1990-06-14,1013,dominicks,1,2.06,22721.8
1990-06-14,1014,tropicana,1,2.01,18176.43
1990-06-14,1029,tropicana,1,2.55,24477.45
1990-06-14,1016,minute_maid,1,2.63,31099.75
1990-06-14,1003,minute_maid,1,2.63,27449.31
1990-06-21,1014,dominicks,1,2.47,41394.73
1990-06-21,1016,dominicks,1,2.52,31275.72
1990-06-21,1001,tropicana,1,2.46,25788.18
1990-06-21,1011,dominicks,1,2.6,33326.8
1990-06-21,1005,minute_maid,1,2.26,45007.9
1990-06-21,1022,dominicks,1,2.44,40196.56
1990-06-21,1027,minute_maid,1,2.69,29078.9
1990-06-21,1018,minute_maid,1,2.35,26860.5
1990-06-21,1017,dominicks,1,2.1,36590.4
1990-06-21,1031,minute_maid,1,2.5,48507.5
1990-06-21,1014,minute_maid,1,2.55,29748.3
1990-06-21,1010,tropicana,1,2.21,41366.78
1990-06-21,1010,minute_maid,1,2.08,30813.120000000014
1990-06-21,1006,dominicks,1,2.58,34388.82
1990-06-21,1022,tropicana,1,2.59,40155.36
1990-06-21,1026,tropicana,1,2.22,22262.160000000003
1990-06-21,1027,dominicks,1,2.22,33923.82
1990-06-21,1032,minute_maid,1,2.44,40613.8
1990-06-21,1005,tropicana,1,2.56,38123.52
1990-06-21,1002,dominicks,1,2.32,37702.32
1990-06-21,1030,tropicana,1,2.62,25125.8
1990-06-21,1000,tropicana,1,2.3,27259.6
1990-06-21,1031,dominicks,1,2.65,50683.9
1990-06-21,1006,minute_maid,1,2.19,23104.5
1990-06-21,1022,minute_maid,1,1.94,21448.64
1990-06-21,1002,minute_maid,1,2.3,41795.6
1990-06-21,1018,tropicana,1,1.98,33675.84
1990-06-21,1010,dominicks,1,1.96,24839.08
1990-06-21,1002,tropicana,1,2.49,46331.43000000001
1990-06-21,1019,dominicks,1,2.6,41293.2
1990-06-21,1013,minute_maid,1,2.15,34473.1
1990-06-21,1028,tropicana,1,2.28,42063.72
1990-06-21,1020,tropicana,1,2.0,20034.0
1990-06-21,1019,tropicana,1,2.27,40467.29
1990-06-21,1015,minute_maid,1,2.65,50575.25
1990-06-21,1029,tropicana,1,2.23,24385.05
1990-06-21,1017,tropicana,1,1.92,18700.8
1990-06-21,1012,minute_maid,1,2.36,22823.56
1990-06-21,1004,minute_maid,1,1.96,18175.08
1990-06-21,1004,dominicks,1,2.23,42809.31
1990-06-21,1029,dominicks,1,2.17,34387.99
1990-06-21,1020,minute_maid,1,2.3,42253.3
1990-06-21,1013,dominicks,1,2.44,30944.08
1990-06-21,1012,tropicana,1,2.48,45287.28
1990-06-21,1003,tropicana,1,2.0,22636.0
1990-06-21,1020,dominicks,1,2.21,38683.84
1990-06-21,1029,minute_maid,1,2.66,42570.64
1990-06-21,1031,tropicana,1,2.29,24793.83
1990-06-21,1003,minute_maid,1,2.58,32394.48
1990-06-21,1012,dominicks,1,2.49,24098.22
1990-06-21,1003,dominicks,1,2.33,25984.16
1990-06-21,1015,dominicks,1,2.26,43007.8
1990-06-21,1017,minute_maid,1,1.92,29354.88
1990-06-21,1027,tropicana,1,2.29,42007.76
1990-06-21,1030,minute_maid,1,2.31,41242.74
1990-06-21,1021,tropicana,1,2.47,30331.6
1990-06-21,1001,minute_maid,1,2.68,36817.84
1990-06-21,1011,minute_maid,1,2.13,33168.36
1990-06-21,1005,dominicks,1,2.12,19978.88
1990-06-21,1013,tropicana,1,2.62,29116.06
1990-06-21,1028,dominicks,1,1.91,31608.59
1990-06-21,1021,minute_maid,1,2.49,40733.91
1990-06-21,1019,minute_maid,1,2.53,44510.28999999999
1990-06-21,1030,dominicks,1,2.44,43593.04
1990-06-21,1018,dominicks,1,2.01,22453.71
1990-06-21,1011,tropicana,1,2.28,23484.0
1990-06-21,1032,dominicks,1,2.0,28948.0
1990-06-21,1001,dominicks,1,2.25,44037.0
1990-06-21,1004,tropicana,1,2.06,29365.3
1990-06-21,1028,minute_maid,1,2.56,36748.8
1990-06-21,1021,dominicks,1,2.39,42900.5
1990-06-21,1015,tropicana,1,2.37,32141.94
1990-06-21,1023,dominicks,1,2.58,32956.92
1990-06-21,1014,tropicana,1,2.09,31632.15
1990-06-21,1016,minute_maid,1,2.63,50261.93
1990-06-21,1007,dominicks,1,2.39,42988.93
1990-06-21,1000,minute_maid,1,2.39,36089.0
1990-06-21,1008,minute_maid,1,2.44,29682.6
1990-06-21,1024,tropicana,1,2.59,26493.11
1990-06-21,1009,dominicks,1,2.35,31823.7
1990-06-21,1009,tropicana,1,2.54,37960.3
1990-06-21,1023,minute_maid,1,2.09,31634.24
1990-06-21,1016,tropicana,1,1.92,24142.08
1990-06-21,1007,minute_maid,1,2.23,34576.15
1990-06-21,1025,tropicana,1,2.32,41604.56
1990-06-21,1024,dominicks,1,2.56,31009.28
1990-06-21,1032,tropicana,1,2.54,40947.34
1990-06-21,1024,minute_maid,1,2.41,46165.96
1990-06-21,1008,tropicana,1,2.33,38221.32
1990-06-21,1025,minute_maid,1,2.06,37568.22
1990-06-21,1007,tropicana,1,2.54,43223.18
1990-06-21,1006,tropicana,1,2.36,41382.6
1990-06-21,1009,minute_maid,1,2.58,26886.18
1990-06-21,1023,tropicana,1,2.14,26717.9
1990-06-21,1008,dominicks,1,1.98,31369.14
1990-06-21,1000,dominicks,1,2.39,24471.21000000001
1990-06-21,1025,dominicks,1,2.62,27735.32
1990-06-21,1026,minute_maid,1,2.04,39290.4
1990-06-21,1026,dominicks,1,2.47,37726.78000000001
1990-06-28,1031,tropicana,1,2.3,41689.8
1990-06-28,1011,dominicks,1,2.1,24492.3
1990-06-28,1029,minute_maid,1,1.96,19974.36
1990-06-28,1025,minute_maid,1,2.3,36606.8
1990-06-28,1007,dominicks,1,2.36,26297.48
1990-06-28,1022,dominicks,1,2.01,19452.78
1990-06-28,1023,dominicks,1,2.69,35190.58
1990-06-28,1001,minute_maid,1,2.11,34523.82
1990-06-28,1020,dominicks,1,2.6,33924.8
1990-06-28,1003,tropicana,1,2.64,32192.16
1990-06-28,1027,minute_maid,1,2.27,22475.27
1990-06-28,1026,dominicks,1,2.28,28354.08
1990-06-28,1016,minute_maid,1,1.99,30132.58
1990-06-28,1013,dominicks,1,2.62,37421.46
1990-06-28,1005,tropicana,1,2.25,39136.5
1990-06-28,1023,tropicana,1,2.45,45736.60000000001
1990-06-28,1003,minute_maid,1,2.58,37851.18
1990-06-28,1007,tropicana,1,2.01,33914.73
1990-06-28,1029,tropicana,1,2.55,40629.15
1990-06-28,1010,tropicana,1,2.62,41262.38000000001
1990-06-28,1016,tropicana,1,2.19,29575.95
1990-06-28,1005,minute_maid,1,2.25,36976.5
1990-06-28,1004,dominicks,1,2.13,20940.03
1990-06-28,1020,minute_maid,1,2.26,21178.46
1990-06-28,1001,dominicks,1,2.18,29946.660000000003
1990-06-28,1011,tropicana,1,2.27,39638.74
1990-06-28,1009,minute_maid,1,2.64,36894.0
1990-06-28,1021,minute_maid,1,2.23,33389.79
1990-06-28,1004,tropicana,1,2.38,36364.02
1990-06-28,1028,minute_maid,1,2.3,25030.9
1990-06-28,1021,dominicks,1,1.97,20391.47
1990-06-28,1025,tropicana,1,2.52,40602.24
1990-06-28,1028,dominicks,1,2.14,24318.96000000001
1990-06-28,1012,dominicks,1,2.65,30843.35
1990-06-28,1005,dominicks,1,2.07,29903.22
1990-06-28,1014,tropicana,1,2.64,25341.36
1990-06-28,1004,minute_maid,1,1.98,25338.06
1990-06-28,1007,minute_maid,1,2.14,25971.04
1990-06-28,1012,tropicana,1,2.42,39332.26
1990-06-28,1028,tropicana,1,2.15,29966.7
1990-06-28,1020,tropicana,1,2.07,20052.09
1990-06-28,1032,tropicana,1,2.37,33687.18
1990-06-28,1021,tropicana,1,2.37,22090.77
1990-06-28,1015,minute_maid,1,2.24,23869.44
1990-06-28,1009,dominicks,1,2.51,28026.66
1990-06-28,1017,tropicana,1,2.17,29336.23
1990-06-28,1027,tropicana,1,2.46,33505.2
1990-06-28,1012,minute_maid,1,2.47,35760.66
1990-06-28,1017,minute_maid,1,2.59,48780.06
1990-06-28,1000,minute_maid,1,2.01,24323.01
1990-06-28,1019,tropicana,1,1.97,31945.52
1990-06-28,1024,dominicks,1,2.14,24338.22
1990-06-28,1015,tropicana,1,2.57,33728.68
1990-06-28,1029,dominicks,1,2.6,29959.8
1990-06-28,1011,minute_maid,1,2.66,34260.8
1990-06-28,1013,minute_maid,1,2.46,41416.56
1990-06-28,1032,dominicks,1,1.94,35711.52
1990-06-28,1022,minute_maid,1,2.68,30573.44
1990-06-28,1025,dominicks,1,2.32,41075.6
1990-06-28,1030,minute_maid,1,2.28,24826.92
1990-06-28,1019,dominicks,1,2.49,24357.18
1990-06-28,1010,minute_maid,1,2.16,27922.320000000003
1990-06-28,1008,dominicks,1,2.21,43492.8
1990-06-28,1022,tropicana,1,2.26,34871.8
1990-06-28,1031,minute_maid,1,2.06,18879.9
1990-06-28,1001,tropicana,1,2.51,33724.36
1990-06-28,1002,minute_maid,1,2.3,26194.7
1990-06-28,1026,tropicana,1,2.45,42693.7
1990-06-28,1006,tropicana,1,1.97,28803.37
1990-06-28,1006,minute_maid,1,1.92,19582.08
1990-06-28,1008,minute_maid,1,1.93,27981.14
1990-06-28,1030,tropicana,1,2.4,42756.0
1990-06-28,1018,tropicana,1,1.99,29664.93
1990-06-28,1024,tropicana,1,1.96,19382.44
1990-06-28,1010,dominicks,1,1.93,27959.91
1990-06-28,1026,minute_maid,1,2.02,28712.28
1990-06-28,1014,minute_maid,1,2.36,43395.68
1990-06-28,1017,dominicks,1,2.6,41865.2
1990-06-28,1002,dominicks,1,2.2,36005.200000000004
1990-06-28,1031,dominicks,1,2.52,44009.28
1990-06-28,1016,dominicks,1,2.17,33296.48
1990-06-28,1018,minute_maid,1,2.24,37246.72
1990-06-28,1000,dominicks,1,2.48,44434.16
1990-06-28,1002,tropicana,1,2.64,36933.6
1990-06-28,1006,dominicks,1,2.01,31339.92
1990-06-28,1014,dominicks,1,2.38,21819.84
1990-06-28,1032,minute_maid,1,1.95,36488.4
1990-06-28,1013,tropicana,1,2.11,41018.4
1990-06-28,1018,dominicks,1,2.45,36625.05
1990-06-28,1000,tropicana,1,2.47,40147.38000000001
1990-06-28,1008,tropicana,1,2.52,44488.08
1990-06-28,1030,dominicks,1,2.0,19248.0
1990-06-28,1015,dominicks,1,2.66,52915.38000000001
1990-06-28,1024,minute_maid,1,2.14,29292.320000000003
1990-06-28,1003,dominicks,1,2.48,25437.36
1990-06-28,1023,minute_maid,1,2.13,27217.14
1990-06-28,1019,minute_maid,1,1.98,18012.06
1990-06-28,1009,tropicana,1,2.52,25391.52
