WeekStarting,Advert,Price,Store,Brand,predictions
1992-07-02,True,2.55,1028,minute_maid,35325.149999999994
1992-07-09,True,2.07,1028,minute_maid,38858.96
1992-07-16,True,2.04,1028,minute_maid,38858.96
1992-07-23,True,2.17,1028,minute_maid,22201.88
1992-07-30,True,2.16,1028,minute_maid,24952.9
1992-08-06,True,2.42,1028,minute_maid,31149.250000000004
1992-08-13,True,2.5,1028,minute_maid,31149.250000000004
1992-08-20,True,2.42,1028,minute_maid,26798.1
1992-08-27,True,2.18,1028,minute_maid,27943.24
1992-09-03,True,2.01,1028,minute_maid,26828.04
1992-09-10,True,1.99,1028,minute_maid,26828.04
1992-09-17,True,2.44,1028,minute_maid,40633.32
1992-09-24,True,2.06,1028,minute_maid,26828.04
1992-10-01,True,2.08,1028,minute_maid,21231.0
1992-07-02,True,1.97,1001,dominicks,27981.36
1992-07-09,True,2.33,1001,dominicks,36875.22
1992-07-16,True,2.27,1001,dominicks,36875.22
1992-07-23,True,2.03,1001,dominicks,24937.12000000001
1992-07-30,True,2.67,1001,dominicks,28686.25
1992-08-06,True,2.67,1001,dominicks,41187.42
1992-08-13,True,2.18,1001,dominicks,36769.98
1992-08-20,True,1.93,1001,dominicks,20520.0
1992-08-27,True,2.11,1001,dominicks,31817.1
1992-09-03,True,2.61,1001,dominicks,47118.33
1992-09-10,True,1.92,1001,dominicks,20520.0
1992-09-17,True,2.01,1001,dominicks,20520.0
1992-09-24,True,2.26,1001,dominicks,34789.44
1992-10-01,True,2.25,1001,dominicks,34789.44
1992-07-02,True,2.56,1011,minute_maid,40770.48
1992-07-09,True,2.4,1011,minute_maid,22152.0
1992-07-16,True,1.94,1011,minute_maid,17499.0
1992-07-23,True,2.28,1011,minute_maid,35754.880000000005
1992-07-30,True,1.92,1011,minute_maid,40258.6
1992-08-06,True,2.3,1011,minute_maid,36117.9
1992-08-13,True,2.25,1011,minute_maid,35754.880000000005
1992-08-20,True,2.27,1011,minute_maid,21320.28
1992-08-27,True,2.69,1011,minute_maid,28917.2
1992-09-03,True,1.9,1011,minute_maid,18197.76
1992-09-10,True,2.57,1011,minute_maid,29641.620000000014
1992-09-17,True,2.51,1011,minute_maid,24280.2
1992-09-24,True,2.42,1011,minute_maid,38736.25
1992-10-01,True,2.44,1011,minute_maid,42057.6
1992-07-02,True,2.3,1012,tropicana,31235.97
1992-07-09,True,2.66,1012,tropicana,39328.65
1992-07-16,True,2.36,1012,tropicana,41781.88000000001
1992-07-23,True,2.67,1012,tropicana,50107.89
1992-07-30,True,2.03,1012,tropicana,40113.56999999999
1992-08-06,True,2.36,1012,tropicana,40113.56999999999
1992-08-13,True,2.09,1012,tropicana,25031.06
1992-08-20,True,2.64,1012,tropicana,39328.65
1992-08-27,True,2.45,1012,tropicana,40199.49000000001
1992-09-03,True,1.95,1012,tropicana,25555.13
1992-09-10,True,2.21,1012,tropicana,28901.43
1992-09-17,True,2.24,1012,tropicana,28901.43
1992-09-24,True,1.96,1012,tropicana,27319.74
1992-10-01,True,2.44,1012,tropicana,40199.49000000001
1992-07-02,True,2.47,1015,minute_maid,47991.2
1992-07-09,True,1.91,1015,minute_maid,29827.5
1992-07-16,True,2.44,1015,minute_maid,33470.399999999994
1992-07-23,True,2.37,1015,minute_maid,33470.399999999994
1992-07-30,True,2.51,1015,minute_maid,23666.64
1992-08-06,True,2.38,1015,minute_maid,40687.2
1992-08-13,True,2.46,1015,minute_maid,36205.26
1992-08-20,True,2.44,1015,minute_maid,40687.2
1992-08-27,True,2.4,1015,minute_maid,40993.89
1992-09-03,True,2.6,1015,minute_maid,35102.6
1992-09-10,True,2.66,1015,minute_maid,51151.8
1992-09-17,True,2.22,1015,minute_maid,27523.2
1992-09-24,True,2.21,1015,minute_maid,20730.36
1992-10-01,True,2.64,1015,minute_maid,47533.2
1992-07-02,True,1.96,1020,minute_maid,32560.0
1992-07-09,True,2.02,1020,minute_maid,22188.33
1992-07-16,True,2.16,1020,minute_maid,25138.08
1992-07-23,True,2.44,1020,minute_maid,36947.71
1992-07-30,True,1.99,1020,minute_maid,32560.0
1992-08-06,True,2.6,1020,minute_maid,34334.55
1992-08-13,True,2.12,1020,minute_maid,19727.4
1992-08-20,True,2.47,1020,minute_maid,41122.6
1992-08-27,True,2.08,1020,minute_maid,39379.78
1992-09-03,True,2.41,1020,minute_maid,36947.71
1992-09-10,True,2.18,1020,minute_maid,30347.78
1992-09-17,True,2.26,1020,minute_maid,34593.75
1992-09-24,True,2.18,1020,minute_maid,30347.78
1992-10-01,True,1.96,1020,minute_maid,30565.41
1992-07-02,True,2.5,1011,tropicana,45759.81
1992-07-09,True,2.05,1011,tropicana,33548.91
1992-07-16,True,2.49,1011,tropicana,26629.070000000003
1992-07-23,True,1.91,1011,tropicana,22408.22
1992-07-30,True,2.51,1011,tropicana,26629.070000000003
1992-08-06,True,2.35,1011,tropicana,23784.08
1992-08-13,True,2.09,1011,tropicana,22480.04
1992-08-20,True,2.17,1011,tropicana,39752.19
1992-08-27,True,2.57,1011,tropicana,42235.38
1992-09-03,True,2.12,1011,tropicana,36438.21
1992-09-10,True,2.63,1011,tropicana,29661.66
1992-09-17,True,2.0,1011,tropicana,31310.72
1992-09-24,True,2.31,1011,tropicana,26774.04
1992-10-01,True,2.17,1011,tropicana,26961.12000000001
1992-07-02,True,1.91,1022,tropicana,21878.4
1992-07-09,True,2.2,1022,tropicana,30567.040000000005
1992-07-16,True,2.27,1022,tropicana,20679.0
1992-07-23,True,2.55,1022,tropicana,32621.22
1992-07-30,True,2.14,1022,tropicana,42209.36
